execution_unit_key,logical_execution_index,net_id,iteration,node_id,parent_node_id,node_type,display_name,component_path,origin_op_name,resolved_op_type_name,primitive_id,primitive_type,implementation,kernel_entry,tool_kind,primary_metric_name,primary_metric_total,primary_metric_unit,dispatch_count,gtpin_invocation_count,gtpin_total_execution_cycles
n1_i5,5,1,5,n1_i5::component_group::(root),,component_group,(root),(root),,,,,,,performance,gtpin_total_execution_cycles,2008230072,cycles,9,1284,2008230072
n1_i5,5,1,5,n1_i5::component_group::embed_tokens,,component_group,embed_tokens,embed_tokens,,,,,,,performance,gtpin_total_execution_cycles,5344702,cycles,1,1024,5344702
n1_i5,5,1,5,n1_i5::component_group::layers.*/input_layernorm,,component_group,layers.*/input_layernorm,layers.*/input_layernorm,,,,,,,performance,gtpin_total_execution_cycles,38501094,cycles,22,5632,38501094
n1_i5,5,1,5,n1_i5::component_group::layers.*/mlp,,component_group,layers.*/mlp,layers.*/mlp,,,,,,,performance,gtpin_total_execution_cycles,6455870132,cycles,66,9152,6455870132
n1_i5,5,1,5,n1_i5::component_group::layers.*/post_attention_layernorm,,component_group,layers.*/post_attention_layernorm,layers.*/post_attention_layernorm,,,,,,,performance,gtpin_total_execution_cycles,41861874,cycles,22,5632,41861874
n1_i5,5,1,5,n1_i5::component_group::layers.*/self_attn,,component_group,layers.*/self_attn,layers.*/self_attn,,,,,,,performance,gtpin_total_execution_cycles,2234324035,cycles,376,122560,2234324035
n1_i5,5,1,5,n1_i5::component_group::rotary_emb,,component_group,rotary_emb,rotary_emb,,,,,,,performance,gtpin_total_execution_cycles,537377,cycles,6,99,537377
n1_i5,5,1,5,n1_i5::kernel::broadcast:/model/layers.0/self_attn/Expand::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i5::primitive::broadcast:/model/layers.0/self_attn/Expand,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.0/self_attn/Expand,Broadcast,broadcast:/model/layers.0/self_attn/Expand,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,3740850,cycles,1,1024,3740850
n1_i5,5,1,5,n1_i5::kernel::broadcast:/model/layers.0/self_attn/Expand_1::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i5::primitive::broadcast:/model/layers.0/self_attn/Expand_1,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.0/self_attn/Expand_1,Broadcast,broadcast:/model/layers.0/self_attn/Expand_1,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,3954770,cycles,1,1024,3954770
n1_i5,5,1,5,n1_i5::kernel::broadcast:/model/layers.1/self_attn/Expand::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i5::primitive::broadcast:/model/layers.1/self_attn/Expand,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.1/self_attn/Expand,Broadcast,broadcast:/model/layers.1/self_attn/Expand,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,5968098,cycles,1,1024,5968098
n1_i5,5,1,5,n1_i5::kernel::broadcast:/model/layers.1/self_attn/Expand_1::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i5::primitive::broadcast:/model/layers.1/self_attn/Expand_1,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.1/self_attn/Expand_1,Broadcast,broadcast:/model/layers.1/self_attn/Expand_1,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,4309752,cycles,1,1024,4309752
n1_i5,5,1,5,n1_i5::kernel::broadcast:/model/layers.10/self_attn/Expand::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i5::primitive::broadcast:/model/layers.10/self_attn/Expand,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.10/self_attn/Expand,Broadcast,broadcast:/model/layers.10/self_attn/Expand,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,5571222,cycles,1,1024,5571222
n1_i5,5,1,5,n1_i5::kernel::broadcast:/model/layers.10/self_attn/Expand_1::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i5::primitive::broadcast:/model/layers.10/self_attn/Expand_1,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.10/self_attn/Expand_1,Broadcast,broadcast:/model/layers.10/self_attn/Expand_1,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,3620754,cycles,1,1024,3620754
n1_i5,5,1,5,n1_i5::kernel::broadcast:/model/layers.11/self_attn/Expand::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i5::primitive::broadcast:/model/layers.11/self_attn/Expand,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.11/self_attn/Expand,Broadcast,broadcast:/model/layers.11/self_attn/Expand,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,3437406,cycles,1,1024,3437406
n1_i5,5,1,5,n1_i5::kernel::broadcast:/model/layers.11/self_attn/Expand_1::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i5::primitive::broadcast:/model/layers.11/self_attn/Expand_1,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.11/self_attn/Expand_1,Broadcast,broadcast:/model/layers.11/self_attn/Expand_1,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,5118316,cycles,1,1024,5118316
n1_i5,5,1,5,n1_i5::kernel::broadcast:/model/layers.12/self_attn/Expand::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i5::primitive::broadcast:/model/layers.12/self_attn/Expand,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.12/self_attn/Expand,Broadcast,broadcast:/model/layers.12/self_attn/Expand,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,4242518,cycles,1,1024,4242518
n1_i5,5,1,5,n1_i5::kernel::broadcast:/model/layers.12/self_attn/Expand_1::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i5::primitive::broadcast:/model/layers.12/self_attn/Expand_1,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.12/self_attn/Expand_1,Broadcast,broadcast:/model/layers.12/self_attn/Expand_1,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,3954184,cycles,1,1024,3954184
n1_i5,5,1,5,n1_i5::kernel::broadcast:/model/layers.13/self_attn/Expand::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i5::primitive::broadcast:/model/layers.13/self_attn/Expand,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.13/self_attn/Expand,Broadcast,broadcast:/model/layers.13/self_attn/Expand,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,5549592,cycles,1,1024,5549592
n1_i5,5,1,5,n1_i5::kernel::broadcast:/model/layers.13/self_attn/Expand_1::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i5::primitive::broadcast:/model/layers.13/self_attn/Expand_1,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.13/self_attn/Expand_1,Broadcast,broadcast:/model/layers.13/self_attn/Expand_1,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,4238682,cycles,1,1024,4238682
n1_i5,5,1,5,n1_i5::kernel::broadcast:/model/layers.14/self_attn/Expand::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i5::primitive::broadcast:/model/layers.14/self_attn/Expand,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.14/self_attn/Expand,Broadcast,broadcast:/model/layers.14/self_attn/Expand,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,5498212,cycles,1,1024,5498212
n1_i5,5,1,5,n1_i5::kernel::broadcast:/model/layers.14/self_attn/Expand_1::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i5::primitive::broadcast:/model/layers.14/self_attn/Expand_1,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.14/self_attn/Expand_1,Broadcast,broadcast:/model/layers.14/self_attn/Expand_1,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,4494130,cycles,1,1024,4494130
n1_i5,5,1,5,n1_i5::kernel::broadcast:/model/layers.15/self_attn/Expand::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i5::primitive::broadcast:/model/layers.15/self_attn/Expand,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.15/self_attn/Expand,Broadcast,broadcast:/model/layers.15/self_attn/Expand,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,4141278,cycles,1,1024,4141278
n1_i5,5,1,5,n1_i5::kernel::broadcast:/model/layers.15/self_attn/Expand_1::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i5::primitive::broadcast:/model/layers.15/self_attn/Expand_1,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.15/self_attn/Expand_1,Broadcast,broadcast:/model/layers.15/self_attn/Expand_1,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,4238610,cycles,1,1024,4238610
n1_i5,5,1,5,n1_i5::kernel::broadcast:/model/layers.16/self_attn/Expand::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i5::primitive::broadcast:/model/layers.16/self_attn/Expand,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.16/self_attn/Expand,Broadcast,broadcast:/model/layers.16/self_attn/Expand,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,3479554,cycles,1,1024,3479554
n1_i5,5,1,5,n1_i5::kernel::broadcast:/model/layers.16/self_attn/Expand_1::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i5::primitive::broadcast:/model/layers.16/self_attn/Expand_1,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.16/self_attn/Expand_1,Broadcast,broadcast:/model/layers.16/self_attn/Expand_1,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,4214926,cycles,1,1024,4214926
n1_i5,5,1,5,n1_i5::kernel::broadcast:/model/layers.17/self_attn/Expand::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i5::primitive::broadcast:/model/layers.17/self_attn/Expand,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.17/self_attn/Expand,Broadcast,broadcast:/model/layers.17/self_attn/Expand,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,5981136,cycles,1,1024,5981136
n1_i5,5,1,5,n1_i5::kernel::broadcast:/model/layers.17/self_attn/Expand_1::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i5::primitive::broadcast:/model/layers.17/self_attn/Expand_1,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.17/self_attn/Expand_1,Broadcast,broadcast:/model/layers.17/self_attn/Expand_1,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,4010122,cycles,1,1024,4010122
n1_i5,5,1,5,n1_i5::kernel::broadcast:/model/layers.18/self_attn/Expand::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i5::primitive::broadcast:/model/layers.18/self_attn/Expand,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.18/self_attn/Expand,Broadcast,broadcast:/model/layers.18/self_attn/Expand,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,5676328,cycles,1,1024,5676328
n1_i5,5,1,5,n1_i5::kernel::broadcast:/model/layers.18/self_attn/Expand_1::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i5::primitive::broadcast:/model/layers.18/self_attn/Expand_1,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.18/self_attn/Expand_1,Broadcast,broadcast:/model/layers.18/self_attn/Expand_1,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,3797130,cycles,1,1024,3797130
