execution_unit_key,logical_execution_index,net_id,iteration,tool_kind,is_internal_network_candidate,component_path,origin_op_name,origin_op_type_name,resolved_op_type_name,primitive_id,original_primitive_id,primitive_type,implementation,exec_id,kernel_entry,gtpin_kernel,dispatch_count,dispatch_ids,ov_match,kernel_alignment_status,kernel_entry_alignment_verified,pointer_coverage_match,ov_kernel_entry_present,gtpin_source_kind,primary_metric_name,primary_metric_total,primary_metric_avg,primary_metric_unit,gtpin_invocation_count,gtpin_total_execution_cycles,gtpin_avg_execution_cycles_per_invocation,gtpin_total_memory_ops,gtpin_estimated_total_bytes,gtpin_write_dominance_pct,gtpin_estimated_bytes_per_mem_op,gtpin_reads,gtpin_writes,gtpin_atomics,gtpin_metric_fields_json,execution_descriptor
n1_i4,4,1,4,performance,false,(root),logits.0,FullyConnected,FullyConnected,fullyconnected:logits.0,fullyconnected:logits.0,fully_connected,fully_connected_gpu_bf_tiled,1069,fully_connected_gpu_bf_tiled_9077797497357748363_0_0,fully_connected_gpu_bf_tiled_9077797497357748363_0_0,1,2664,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,2155949694,2155949,cycles,1000,2155949694,2155949,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":2155949,""gtpin_invocation_count"":1000,""gtpin_total_execution_cycles"":2155949694}",InvocationCount=1000;TotalExecutionCycles=2155949694;AvgExecutionCyclesPerInvocation=2155949
n1_i4,4,1,4,performance,false,layers.*/mlp,/model/layers.11/mlp/gate_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.11/mlp/gate_proj/MatMul,fullyconnected:/model/layers.11/mlp/gate_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled,706,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,1,2441,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,142294954,808494,cycles,176,142294954,808494,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":808494,""gtpin_invocation_count"":176,""gtpin_total_execution_cycles"":142294954}",InvocationCount=176;TotalExecutionCycles=142294954;AvgExecutionCyclesPerInvocation=808494
n1_i4,4,1,4,performance,false,layers.*/mlp,/model/layers.6/mlp/gate_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.6/mlp/gate_proj/MatMul,fullyconnected:/model/layers.6/mlp/gate_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled,526,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,1,2331,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,132557570,753168,cycles,176,132557570,753168,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":753168,""gtpin_invocation_count"":176,""gtpin_total_execution_cycles"":132557570}",InvocationCount=176;TotalExecutionCycles=132557570;AvgExecutionCyclesPerInvocation=753168
n1_i4,4,1,4,performance,false,layers.*/mlp,/model/layers.4/mlp/gate_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.4/mlp/gate_proj/MatMul,fullyconnected:/model/layers.4/mlp/gate_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled,454,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,1,2287,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,129611222,736427,cycles,176,129611222,736427,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":736427,""gtpin_invocation_count"":176,""gtpin_total_execution_cycles"":129611222}",InvocationCount=176;TotalExecutionCycles=129611222;AvgExecutionCyclesPerInvocation=736427
n1_i4,4,1,4,performance,false,layers.*/mlp,/model/layers.1/mlp/gate_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.1/mlp/gate_proj/MatMul,fullyconnected:/model/layers.1/mlp/gate_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled,346,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,1,2221,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,126657662,719645,cycles,176,126657662,719645,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":719645,""gtpin_invocation_count"":176,""gtpin_total_execution_cycles"":126657662}",InvocationCount=176;TotalExecutionCycles=126657662;AvgExecutionCyclesPerInvocation=719645
n1_i4,4,1,4,performance,false,layers.*/mlp,/model/layers.19/mlp/gate_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.19/mlp/gate_proj/MatMul,fullyconnected:/model/layers.19/mlp/gate_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled,994,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,1,2617,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,122393596,695418,cycles,176,122393596,695418,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":695418,""gtpin_invocation_count"":176,""gtpin_total_execution_cycles"":122393596}",InvocationCount=176;TotalExecutionCycles=122393596;AvgExecutionCyclesPerInvocation=695418
n1_i4,4,1,4,performance,false,layers.*/mlp,/model/layers.2/mlp/gate_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.2/mlp/gate_proj/MatMul,fullyconnected:/model/layers.2/mlp/gate_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled,382,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,1,2243,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,122151578,694043,cycles,176,122151578,694043,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":694043,""gtpin_invocation_count"":176,""gtpin_total_execution_cycles"":122151578}",InvocationCount=176;TotalExecutionCycles=122151578;AvgExecutionCyclesPerInvocation=694043
n1_i4,4,1,4,performance,false,layers.*/mlp,/model/layers.20/mlp/up_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.20/mlp/up_proj/MatMul,fullyconnected:/model/layers.20/mlp/up_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled,1029,fully_connected_gpu_bf_tiled_2740906288179525049_0_0,fully_connected_gpu_bf_tiled_2740906288179525049_0_0,1,2638,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,120084196,682296,cycles,176,120084196,682296,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":682296,""gtpin_invocation_count"":176,""gtpin_total_execution_cycles"":120084196}",InvocationCount=176;TotalExecutionCycles=120084196;AvgExecutionCyclesPerInvocation=682296
n1_i4,4,1,4,performance,false,layers.*/mlp,/model/layers.13/mlp/gate_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.13/mlp/gate_proj/MatMul,fullyconnected:/model/layers.13/mlp/gate_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled,778,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,1,2485,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,120055592,682134,cycles,176,120055592,682134,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":682134,""gtpin_invocation_count"":176,""gtpin_total_execution_cycles"":120055592}",InvocationCount=176;TotalExecutionCycles=120055592;AvgExecutionCyclesPerInvocation=682134
n1_i4,4,1,4,performance,false,layers.*/mlp,/model/layers.3/mlp/gate_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.3/mlp/gate_proj/MatMul,fullyconnected:/model/layers.3/mlp/gate_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled,418,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,1,2265,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,119822254,680808,cycles,176,119822254,680808,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":680808,""gtpin_invocation_count"":176,""gtpin_total_execution_cycles"":119822254}",InvocationCount=176;TotalExecutionCycles=119822254;AvgExecutionCyclesPerInvocation=680808
