execution_unit_key,logical_execution_index,net_id,iteration,node_id,parent_node_id,node_type,display_name,component_path,origin_op_name,resolved_op_type_name,primitive_id,primitive_type,implementation,kernel_entry,tool_kind,primary_metric_name,primary_metric_total,primary_metric_unit,dispatch_count,gtpin_invocation_count,gtpin_total_execution_cycles
n1_i9,9,1,9,n1_i9::component_group::(root),,component_group,(root),(root),,,,,,,performance,gtpin_total_execution_cycles,2161276951,cycles,9,1284,2161276951
n1_i9,9,1,9,n1_i9::component_group::embed_tokens,,component_group,embed_tokens,embed_tokens,,,,,,,performance,gtpin_total_execution_cycles,4580524,cycles,1,1024,4580524
n1_i9,9,1,9,n1_i9::component_group::layers.*/input_layernorm,,component_group,layers.*/input_layernorm,layers.*/input_layernorm,,,,,,,performance,gtpin_total_execution_cycles,40585802,cycles,22,5632,40585802
n1_i9,9,1,9,n1_i9::component_group::layers.*/mlp,,component_group,layers.*/mlp,layers.*/mlp,,,,,,,performance,gtpin_total_execution_cycles,6852964826,cycles,66,9152,6852964826
n1_i9,9,1,9,n1_i9::component_group::layers.*/post_attention_layernorm,,component_group,layers.*/post_attention_layernorm,layers.*/post_attention_layernorm,,,,,,,performance,gtpin_total_execution_cycles,42796074,cycles,22,5632,42796074
n1_i9,9,1,9,n1_i9::component_group::layers.*/self_attn,,component_group,layers.*/self_attn,layers.*/self_attn,,,,,,,performance,gtpin_total_execution_cycles,2267949222,cycles,376,122560,2267949222
n1_i9,9,1,9,n1_i9::component_group::rotary_emb,,component_group,rotary_emb,rotary_emb,,,,,,,performance,gtpin_total_execution_cycles,459152,cycles,6,99,459152
n1_i9,9,1,9,n1_i9::kernel::broadcast:/model/layers.0/self_attn/Expand::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i9::primitive::broadcast:/model/layers.0/self_attn/Expand,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.0/self_attn/Expand,Broadcast,broadcast:/model/layers.0/self_attn/Expand,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,3690416,cycles,1,1024,3690416
n1_i9,9,1,9,n1_i9::kernel::broadcast:/model/layers.0/self_attn/Expand_1::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i9::primitive::broadcast:/model/layers.0/self_attn/Expand_1,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.0/self_attn/Expand_1,Broadcast,broadcast:/model/layers.0/self_attn/Expand_1,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,3976502,cycles,1,1024,3976502
n1_i9,9,1,9,n1_i9::kernel::broadcast:/model/layers.1/self_attn/Expand::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i9::primitive::broadcast:/model/layers.1/self_attn/Expand,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.1/self_attn/Expand,Broadcast,broadcast:/model/layers.1/self_attn/Expand,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,6647346,cycles,1,1024,6647346
n1_i9,9,1,9,n1_i9::kernel::broadcast:/model/layers.1/self_attn/Expand_1::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i9::primitive::broadcast:/model/layers.1/self_attn/Expand_1,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.1/self_attn/Expand_1,Broadcast,broadcast:/model/layers.1/self_attn/Expand_1,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,4215434,cycles,1,1024,4215434
n1_i9,9,1,9,n1_i9::kernel::broadcast:/model/layers.10/self_attn/Expand::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i9::primitive::broadcast:/model/layers.10/self_attn/Expand,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.10/self_attn/Expand,Broadcast,broadcast:/model/layers.10/self_attn/Expand,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,5337270,cycles,1,1024,5337270
n1_i9,9,1,9,n1_i9::kernel::broadcast:/model/layers.10/self_attn/Expand_1::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i9::primitive::broadcast:/model/layers.10/self_attn/Expand_1,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.10/self_attn/Expand_1,Broadcast,broadcast:/model/layers.10/self_attn/Expand_1,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,4478628,cycles,1,1024,4478628
n1_i9,9,1,9,n1_i9::kernel::broadcast:/model/layers.11/self_attn/Expand::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i9::primitive::broadcast:/model/layers.11/self_attn/Expand,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.11/self_attn/Expand,Broadcast,broadcast:/model/layers.11/self_attn/Expand,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,3963798,cycles,1,1024,3963798
n1_i9,9,1,9,n1_i9::kernel::broadcast:/model/layers.11/self_attn/Expand_1::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i9::primitive::broadcast:/model/layers.11/self_attn/Expand_1,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.11/self_attn/Expand_1,Broadcast,broadcast:/model/layers.11/self_attn/Expand_1,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,5619504,cycles,1,1024,5619504
