execution_unit_key,logical_execution_index,edge_type,source_node_id,target_node_id
n1_i1,1,op_to_primitive,n1_i1::op::/model/layers.11/self_attn/Expand_1,n1_i1::primitive::broadcast:/model/layers.11/self_attn/Expand_1
n1_i1,1,op_to_primitive,n1_i1::op::/model/layers.11/self_attn/IsNaN,n1_i1::primitive::isnan:/model/layers.11/self_attn/IsNaN
n1_i1,1,op_to_primitive,n1_i1::op::/model/layers.11/self_attn/MatMul,n1_i1::primitive::gemm:/model/layers.11/self_attn/MatMul
n1_i1,1,op_to_primitive,n1_i1::op::/model/layers.11/self_attn/Mul_8,n1_i1::primitive::multiply:/model/layers.11/self_attn/Mul_8
n1_i1,1,op_to_primitive,n1_i1::op::/model/layers.11/self_attn/Softmax,n1_i1::primitive::softmax:/model/layers.11/self_attn/Softmax
n1_i1,1,op_to_primitive,n1_i1::op::/model/layers.11/self_attn/Transpose_2,n1_i1::primitive::transpose:/model/layers.11/self_attn/Transpose_2
n1_i1,1,op_to_primitive,n1_i1::op::/model/layers.11/self_attn/Transpose_3,n1_i1::primitive::transpose:/model/layers.11/self_attn/Transpose_3
n1_i1,1,op_to_primitive,n1_i1::op::/model/layers.11/self_attn/Transpose_4,n1_i1::primitive::gemm:/model/layers.11/self_attn/Transpose_4
n1_i1,1,op_to_primitive,n1_i1::op::/model/layers.11/self_attn/Where_2,n1_i1::primitive::select:/model/layers.11/self_attn/Where_2
n1_i1,1,op_to_primitive,n1_i1::op::/model/layers.11/self_attn/Where_3,n1_i1::primitive::select:/model/layers.11/self_attn/Where_3
n1_i1,1,op_to_primitive,n1_i1::op::/model/layers.11/self_attn/k_proj/MatMul,n1_i1::primitive::fullyconnected:/model/layers.11/self_attn/k_proj/MatMul
n1_i1,1,op_to_primitive,n1_i1::op::/model/layers.11/self_attn/o_proj/MatMul,n1_i1::primitive::fullyconnected:/model/layers.11/self_attn/o_proj/MatMul
