execution_unit_key,logical_execution_index,net_id,iteration,tool_kind,component_path,origin_op_name,origin_op_type_name,resolved_op_type_name,primitive_id,original_primitive_id,primitive_type,implementation,exec_id,is_input,is_output,dispatch_count,kernel_entry_count,kernel_entries,primary_metric_name,primary_metric_total,primary_metric_unit,gtpin_invocation_count,gtpin_total_execution_cycles
n1_i1,1,1,1,performance,(root),/model/And,LogicalAnd,LogicalAnd,logicaland:/model/And,logicaland:/model/And,eltwise,generic_eltwise_ref__u8,270,false,false,1,1,generic_eltwise_ref_12613916656436061640_0_0__sa,gtpin_total_execution_cycles,42496,cycles,8,42496
n1_i1,1,1,1,performance,(root),/model/And_1,LogicalAnd,LogicalAnd,logicaland:/model/And_1,logicaland:/model/And_1,eltwise,generic_eltwise_ref__u8,287,false,false,1,1,generic_eltwise_ref_9810887907610228330_0_0__sa,gtpin_total_execution_cycles,50552,cycles,8,50552
n1_i1,1,1,1,performance,(root),/model/Gather_4,Gather,Gather,gather:/model/Gather_4,gather:/model/Gather_4,gather,gather_ref__u8,276,false,false,1,1,gather_ref_3335901000044472670_0_0__sa,gtpin_total_execution_cycles,11928,cycles,1,11928
n1_i1,1,1,1,performance,(root),/model/LessOrEqual,LessEqual,LessEqual,lessequal:/model/LessOrEqual,lessequal:/model/LessOrEqual,eltwise,generic_eltwise_ref__i32,265,false,false,1,1,generic_eltwise_ref_12991517841348968924_0_0__sa,gtpin_total_execution_cycles,45176,cycles,8,45176
n1_i1,1,1,1,performance,embed_tokens,/model/embed_tokens/Gather,Gather,Gather,gather:/model/embed_tokens/Gather,gather:/model/embed_tokens/Gather,gather,gather_ref__f16,229,false,false,1,1,gather_ref_9653281298055295004_0_0__sa,gtpin_total_execution_cycles,4902286,cycles,1024,4902286
n1_i1,1,1,1,performance,layers.*/input_layernorm,/model/layers.0/input_layernorm/Mul,RMS,RMS,rms:/model/layers.0/input_layernorm/Mul,rms:/model/layers.0/input_layernorm/Mul,rms,rms_gpu_bfyx_opt__f16,232,false,false,1,1,rms_gpu_bfyx_opt_10690270683970839748_0_0__sa,gtpin_total_execution_cycles,1962348,cycles,256,1962348
n1_i1,1,1,1,performance,layers.*/mlp,/model/layers.0/mlp/down_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.0/mlp/down_proj/MatMul,fullyconnected:/model/layers.0/mlp/down_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled__f16,311,false,false,1,1,fully_connected_gpu_bf_tiled_2727911967636154657_0_0,gtpin_total_execution_cycles,83295266,cycles,64,83295266
n1_i1,1,1,1,performance,layers.*/mlp,/model/layers.0/mlp/gate_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.0/mlp/gate_proj/MatMul,fullyconnected:/model/layers.0/mlp/gate_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled__f16,310,false,false,1,1,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,gtpin_total_execution_cycles,148200178,cycles,176,148200178
n1_i1,1,1,1,performance,layers.*/mlp,/model/layers.0/mlp/up_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.0/mlp/up_proj/MatMul,fullyconnected:/model/layers.0/mlp/up_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled__f16,309,false,false,1,1,fully_connected_gpu_bf_tiled_2740906288179525049_0_0,gtpin_total_execution_cycles,137535130,cycles,176,137535130
n1_i1,1,1,1,performance,layers.*/post_attention_layernorm,/model/layers.0/post_attention_layernorm/Mul,RMS,RMS,rms:/model/layers.0/post_attention_layernorm/Mul,rms:/model/layers.0/post_attention_layernorm/Mul,rms,rms_gpu_bfyx_opt__f16,308,false,false,1,1,rms_gpu_bfyx_opt_10690270683970839748_0_0__sa,gtpin_total_execution_cycles,1999066,cycles,256,1999066
