execution_unit_key,logical_execution_index,net_id,iteration,node_id,parent_node_id,node_type,display_name,component_path,origin_op_name,resolved_op_type_name,primitive_id,primitive_type,implementation,kernel_entry,tool_kind,primary_metric_name,primary_metric_total,primary_metric_unit,dispatch_count,gtpin_invocation_count,gtpin_total_execution_cycles
n1_i1,1,1,1,n1_i1::component_group::(root),,component_group,(root),(root),,,,,,,performance,gtpin_total_execution_cycles,2624239386,cycles,9,1284,2624239386
n1_i1,1,1,1,n1_i1::component_group::embed_tokens,,component_group,embed_tokens,embed_tokens,,,,,,,performance,gtpin_total_execution_cycles,4902286,cycles,1,1024,4902286
n1_i1,1,1,1,n1_i1::component_group::layers.*/input_layernorm,,component_group,layers.*/input_layernorm,layers.*/input_layernorm,,,,,,,performance,gtpin_total_execution_cycles,39052282,cycles,22,5632,39052282
n1_i1,1,1,1,n1_i1::component_group::layers.*/mlp,,component_group,layers.*/mlp,layers.*/mlp,,,,,,,performance,gtpin_total_execution_cycles,7093274196,cycles,66,9152,7093274196
n1_i1,1,1,1,n1_i1::component_group::layers.*/post_attention_layernorm,,component_group,layers.*/post_attention_layernorm,layers.*/post_attention_layernorm,,,,,,,performance,gtpin_total_execution_cycles,43468432,cycles,22,5632,43468432
n1_i1,1,1,1,n1_i1::component_group::layers.*/self_attn,,component_group,layers.*/self_attn,layers.*/self_attn,,,,,,,performance,gtpin_total_execution_cycles,2300813729,cycles,376,122560,2300813729
n1_i1,1,1,1,n1_i1::component_group::rotary_emb,,component_group,rotary_emb,rotary_emb,,,,,,,performance,gtpin_total_execution_cycles,576204,cycles,6,99,576204
n1_i1,1,1,1,n1_i1::kernel::broadcast:/model/layers.0/self_attn/Expand::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i1::primitive::broadcast:/model/layers.0/self_attn/Expand,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.0/self_attn/Expand,Broadcast,broadcast:/model/layers.0/self_attn/Expand,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,4195594,cycles,1,1024,4195594
n1_i1,1,1,1,n1_i1::kernel::broadcast:/model/layers.0/self_attn/Expand_1::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i1::primitive::broadcast:/model/layers.0/self_attn/Expand_1,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.0/self_attn/Expand_1,Broadcast,broadcast:/model/layers.0/self_attn/Expand_1,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,4725854,cycles,1,1024,4725854
n1_i1,1,1,1,n1_i1::kernel::broadcast:/model/layers.1/self_attn/Expand::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i1::primitive::broadcast:/model/layers.1/self_attn/Expand,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.1/self_attn/Expand,Broadcast,broadcast:/model/layers.1/self_attn/Expand,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,6411072,cycles,1,1024,6411072
n1_i1,1,1,1,n1_i1::kernel::broadcast:/model/layers.1/self_attn/Expand_1::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i1::primitive::broadcast:/model/layers.1/self_attn/Expand_1,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.1/self_attn/Expand_1,Broadcast,broadcast:/model/layers.1/self_attn/Expand_1,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,4278308,cycles,1,1024,4278308
n1_i1,1,1,1,n1_i1::kernel::broadcast:/model/layers.10/self_attn/Expand::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i1::primitive::broadcast:/model/layers.10/self_attn/Expand,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.10/self_attn/Expand,Broadcast,broadcast:/model/layers.10/self_attn/Expand,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,5703466,cycles,1,1024,5703466
