execution_unit_key,logical_execution_index,net_id,iteration,tool_kind,is_internal_network_candidate,component_path,origin_op_name,origin_op_type_name,resolved_op_type_name,primitive_id,original_primitive_id,primitive_type,implementation,exec_id,kernel_entry,gtpin_kernel,dispatch_count,dispatch_ids,ov_match,kernel_alignment_status,kernel_entry_alignment_verified,pointer_coverage_match,ov_kernel_entry_present,gtpin_source_kind,primary_metric_name,primary_metric_total,primary_metric_avg,primary_metric_unit,gtpin_invocation_count,gtpin_total_execution_cycles,gtpin_avg_execution_cycles_per_invocation,gtpin_total_memory_ops,gtpin_estimated_total_bytes,gtpin_write_dominance_pct,gtpin_estimated_bytes_per_mem_op,gtpin_reads,gtpin_writes,gtpin_atomics,gtpin_metric_fields_json,execution_descriptor
n1_i1,1,1,1,performance,false,(root),logits.0,FullyConnected,FullyConnected,fullyconnected:logits.0,fullyconnected:logits.0,fully_connected,fully_connected_gpu_bf_tiled,1069,fully_connected_gpu_bf_tiled_9077797497357748363_0_0,fully_connected_gpu_bf_tiled_9077797497357748363_0_0,1,1158,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,2622204350,2622204,cycles,1000,2622204350,2622204,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":2622204,""gtpin_invocation_count"":1000,""gtpin_total_execution_cycles"":2622204350}",InvocationCount=1000;TotalExecutionCycles=2622204350;AvgExecutionCyclesPerInvocation=2622204
n1_i1,1,1,1,performance,false,layers.*/mlp,/model/layers.20/mlp/up_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.20/mlp/up_proj/MatMul,fullyconnected:/model/layers.20/mlp/up_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled,1029,fully_connected_gpu_bf_tiled_2740906288179525049_0_0,fully_connected_gpu_bf_tiled_2740906288179525049_0_0,1,1132,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,244567962,1389590,cycles,176,244567962,1389590,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":1389590,""gtpin_invocation_count"":176,""gtpin_total_execution_cycles"":244567962}",InvocationCount=176;TotalExecutionCycles=244567962;AvgExecutionCyclesPerInvocation=1389590
n1_i1,1,1,1,performance,false,layers.*/mlp,/model/layers.20/mlp/gate_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.20/mlp/gate_proj/MatMul,fullyconnected:/model/layers.20/mlp/gate_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled,1030,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,1,1133,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,237232500,1347911,cycles,176,237232500,1347911,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":1347911,""gtpin_invocation_count"":176,""gtpin_total_execution_cycles"":237232500}",InvocationCount=176;TotalExecutionCycles=237232500;AvgExecutionCyclesPerInvocation=1347911
n1_i1,1,1,1,performance,false,layers.*/mlp,/model/layers.14/mlp/gate_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.14/mlp/gate_proj/MatMul,fullyconnected:/model/layers.14/mlp/gate_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled,814,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,1,1001,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,164827692,936520,cycles,176,164827692,936520,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":936520,""gtpin_invocation_count"":176,""gtpin_total_execution_cycles"":164827692}",InvocationCount=176;TotalExecutionCycles=164827692;AvgExecutionCyclesPerInvocation=936520
n1_i1,1,1,1,performance,false,layers.*/mlp,/model/layers.11/mlp/gate_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.11/mlp/gate_proj/MatMul,fullyconnected:/model/layers.11/mlp/gate_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled,706,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,1,935,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,148763994,845249,cycles,176,148763994,845249,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":845249,""gtpin_invocation_count"":176,""gtpin_total_execution_cycles"":148763994}",InvocationCount=176;TotalExecutionCycles=148763994;AvgExecutionCyclesPerInvocation=845249
n1_i1,1,1,1,performance,false,layers.*/mlp,/model/layers.0/mlp/gate_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.0/mlp/gate_proj/MatMul,fullyconnected:/model/layers.0/mlp/gate_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled,310,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,1,693,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,148200178,842046,cycles,176,148200178,842046,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":842046,""gtpin_invocation_count"":176,""gtpin_total_execution_cycles"":148200178}",InvocationCount=176;TotalExecutionCycles=148200178;AvgExecutionCyclesPerInvocation=842046
n1_i1,1,1,1,performance,false,layers.*/mlp,/model/layers.12/mlp/gate_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.12/mlp/gate_proj/MatMul,fullyconnected:/model/layers.12/mlp/gate_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled,742,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,1,957,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,144941076,823528,cycles,176,144941076,823528,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":823528,""gtpin_invocation_count"":176,""gtpin_total_execution_cycles"":144941076}",InvocationCount=176;TotalExecutionCycles=144941076;AvgExecutionCyclesPerInvocation=823528
n1_i1,1,1,1,performance,false,layers.*/mlp,/model/layers.10/mlp/gate_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.10/mlp/gate_proj/MatMul,fullyconnected:/model/layers.10/mlp/gate_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled,670,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,1,913,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,139326178,791626,cycles,176,139326178,791626,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":791626,""gtpin_invocation_count"":176,""gtpin_total_execution_cycles"":139326178}",InvocationCount=176;TotalExecutionCycles=139326178;AvgExecutionCyclesPerInvocation=791626
n1_i1,1,1,1,performance,false,layers.*/mlp,/model/layers.0/mlp/up_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.0/mlp/up_proj/MatMul,fullyconnected:/model/layers.0/mlp/up_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled,309,fully_connected_gpu_bf_tiled_2740906288179525049_0_0,fully_connected_gpu_bf_tiled_2740906288179525049_0_0,1,692,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,137535130,781449,cycles,176,137535130,781449,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":781449,""gtpin_invocation_count"":176,""gtpin_total_execution_cycles"":137535130}",InvocationCount=176;TotalExecutionCycles=137535130;AvgExecutionCyclesPerInvocation=781449
n1_i1,1,1,1,performance,false,layers.*/mlp,/model/layers.11/mlp/up_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.11/mlp/up_proj/MatMul,fullyconnected:/model/layers.11/mlp/up_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled,705,fully_connected_gpu_bf_tiled_2740906288179525049_0_0,fully_connected_gpu_bf_tiled_2740906288179525049_0_0,1,934,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,137108094,779023,cycles,176,137108094,779023,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":779023,""gtpin_invocation_count"":176,""gtpin_total_execution_cycles"":137108094}",InvocationCount=176;TotalExecutionCycles=137108094;AvgExecutionCyclesPerInvocation=779023
