execution_unit_key,logical_execution_index,net_id,iteration,tool_kind,is_internal_network_candidate,component_path,origin_op_name,origin_op_type_name,resolved_op_type_name,primitive_id,original_primitive_id,primitive_type,implementation,exec_id,kernel_entry,gtpin_kernel,dispatch_count,dispatch_ids,ov_match,kernel_alignment_status,kernel_entry_alignment_verified,pointer_coverage_match,ov_kernel_entry_present,gtpin_source_kind,primary_metric_name,primary_metric_total,primary_metric_avg,primary_metric_unit,gtpin_invocation_count,gtpin_total_execution_cycles,gtpin_avg_execution_cycles_per_invocation,gtpin_total_memory_ops,gtpin_estimated_total_bytes,gtpin_write_dominance_pct,gtpin_estimated_bytes_per_mem_op,gtpin_reads,gtpin_writes,gtpin_atomics,gtpin_metric_fields_json,execution_descriptor
n1_i2,2,1,2,performance,false,(root),logits.0,FullyConnected,FullyConnected,fullyconnected:logits.0,fullyconnected:logits.0,fully_connected,fully_connected_gpu_bf_tiled,1069,fully_connected_gpu_bf_tiled_9077797497357748363_0_0,fully_connected_gpu_bf_tiled_9077797497357748363_0_0,1,1660,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,2252929312,2252929,cycles,1000,2252929312,2252929,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":2252929,""gtpin_invocation_count"":1000,""gtpin_total_execution_cycles"":2252929312}",InvocationCount=1000;TotalExecutionCycles=2252929312;AvgExecutionCyclesPerInvocation=2252929
n1_i2,2,1,2,performance,false,layers.*/mlp,/model/layers.0/mlp/up_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.0/mlp/up_proj/MatMul,fullyconnected:/model/layers.0/mlp/up_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled,309,fully_connected_gpu_bf_tiled_2740906288179525049_0_0,fully_connected_gpu_bf_tiled_2740906288179525049_0_0,1,1194,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,172247354,978678,cycles,176,172247354,978678,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":978678,""gtpin_invocation_count"":176,""gtpin_total_execution_cycles"":172247354}",InvocationCount=176;TotalExecutionCycles=172247354;AvgExecutionCyclesPerInvocation=978678
n1_i2,2,1,2,performance,false,layers.*/mlp,/model/layers.7/mlp/gate_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.7/mlp/gate_proj/MatMul,fullyconnected:/model/layers.7/mlp/gate_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled,562,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,1,1349,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,156919816,891589,cycles,176,156919816,891589,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":891589,""gtpin_invocation_count"":176,""gtpin_total_execution_cycles"":156919816}",InvocationCount=176;TotalExecutionCycles=156919816;AvgExecutionCyclesPerInvocation=891589
n1_i2,2,1,2,performance,false,layers.*/mlp,/model/layers.1/mlp/up_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.1/mlp/up_proj/MatMul,fullyconnected:/model/layers.1/mlp/up_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled,345,fully_connected_gpu_bf_tiled_2740906288179525049_0_0,fully_connected_gpu_bf_tiled_2740906288179525049_0_0,1,1216,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,155830248,885399,cycles,176,155830248,885399,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":885399,""gtpin_invocation_count"":176,""gtpin_total_execution_cycles"":155830248}",InvocationCount=176;TotalExecutionCycles=155830248;AvgExecutionCyclesPerInvocation=885399
n1_i2,2,1,2,performance,false,layers.*/mlp,/model/layers.1/mlp/gate_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.1/mlp/gate_proj/MatMul,fullyconnected:/model/layers.1/mlp/gate_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled,346,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,1,1217,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,155383302,882859,cycles,176,155383302,882859,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":882859,""gtpin_invocation_count"":176,""gtpin_total_execution_cycles"":155383302}",InvocationCount=176;TotalExecutionCycles=155383302;AvgExecutionCyclesPerInvocation=882859
n1_i2,2,1,2,performance,false,layers.*/mlp,/model/layers.11/mlp/gate_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.11/mlp/gate_proj/MatMul,fullyconnected:/model/layers.11/mlp/gate_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled,706,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,1,1437,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,149787426,851064,cycles,176,149787426,851064,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":851064,""gtpin_invocation_count"":176,""gtpin_total_execution_cycles"":149787426}",InvocationCount=176;TotalExecutionCycles=149787426;AvgExecutionCyclesPerInvocation=851064
n1_i2,2,1,2,performance,false,layers.*/mlp,/model/layers.0/mlp/gate_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.0/mlp/gate_proj/MatMul,fullyconnected:/model/layers.0/mlp/gate_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled,310,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,1,1195,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,149193612,847690,cycles,176,149193612,847690,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":847690,""gtpin_invocation_count"":176,""gtpin_total_execution_cycles"":149193612}",InvocationCount=176;TotalExecutionCycles=149193612;AvgExecutionCyclesPerInvocation=847690
n1_i2,2,1,2,performance,false,layers.*/mlp,/model/layers.19/mlp/gate_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.19/mlp/gate_proj/MatMul,fullyconnected:/model/layers.19/mlp/gate_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled,994,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,1,1613,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,147049886,835510,cycles,176,147049886,835510,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":835510,""gtpin_invocation_count"":176,""gtpin_total_execution_cycles"":147049886}",InvocationCount=176;TotalExecutionCycles=147049886;AvgExecutionCyclesPerInvocation=835510
n1_i2,2,1,2,performance,false,layers.*/mlp,/model/layers.7/mlp/up_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.7/mlp/up_proj/MatMul,fullyconnected:/model/layers.7/mlp/up_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled,561,fully_connected_gpu_bf_tiled_2740906288179525049_0_0,fully_connected_gpu_bf_tiled_2740906288179525049_0_0,1,1348,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,147042892,835470,cycles,176,147042892,835470,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":835470,""gtpin_invocation_count"":176,""gtpin_total_execution_cycles"":147042892}",InvocationCount=176;TotalExecutionCycles=147042892;AvgExecutionCyclesPerInvocation=835470
n1_i2,2,1,2,performance,false,layers.*/mlp,/model/layers.17/mlp/gate_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.17/mlp/gate_proj/MatMul,fullyconnected:/model/layers.17/mlp/gate_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled,922,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,1,1569,matched,aligned,true,true,true,exec_profile,gtpin_total_execution_cycles,142846172,811625,cycles,176,142846172,811625,0,0,,,0,0,0,"{""gtpin_avg_execution_cycles_per_invocation"":811625,""gtpin_invocation_count"":176,""gtpin_total_execution_cycles"":142846172}",InvocationCount=176;TotalExecutionCycles=142846172;AvgExecutionCyclesPerInvocation=811625
