"kernel_entry","mapping_kind","occurrence_index","gtpin_name","candidate_primitive_id","candidate_primitive_type","implementation","net_id","iteration","exec_index","source_file"
"convolution_gpu_bfyx_f16_8136662051360933988_0_0","unique_primitive","2","convolution_gpu_bfyx_f16_8136662051360933988_0_0","convolution:/layer2/layer2.0/downsample/downsample.0/Conv/WithoutBiases","convolution","convolution_gpu_bfyx_f16","2","0","14","dispatch_map_raw2.csv"
"convolution_gpu_bfyx_f16_8418700724475999034_0_0","unique_primitive","1","convolution_gpu_bfyx_f16_8418700724475999034_0_0","convolution:/layer3/layer3.0/downsample/downsample.0/Conv/WithoutBiases","convolution","convolution_gpu_bfyx_f16","1","0","27","dispatch_map_raw1.csv"
"convolution_gpu_bfyx_f16_8418700724475999034_0_0","unique_primitive","2","convolution_gpu_bfyx_f16_8418700724475999034_0_0","convolution:/layer3/layer3.0/downsample/downsample.0/Conv/WithoutBiases","convolution","convolution_gpu_bfyx_f16","2","0","27","dispatch_map_raw2.csv"
"convolution_gpu_bfyx_to_bfyx_f16_4370654348647957117_0_0","unique_primitive","1","convolution_gpu_bfyx_to_bfyx_f16_4370654348647957117_0_0","convolution:/conv1/Conv/WithoutBiases","convolution","convolution_gpu_bfyx_to_bfyx_f16","1","0","2","dispatch_map_raw1.csv"
"convolution_gpu_bfyx_to_bfyx_f16_4370654348647957117_0_0","unique_primitive","2","convolution_gpu_bfyx_to_bfyx_f16_4370654348647957117_0_0","convolution:/conv1/Conv/WithoutBiases","convolution","convolution_gpu_bfyx_to_bfyx_f16","2","0","2","dispatch_map_raw2.csv"
"fully_connected_gpu_bf_io_gemm_10554338203459921666_0_0","unique_primitive","1","fully_connected_gpu_bf_io_gemm_10554338203459921666_0_0","fullyconnected:/fc/Gemm/WithoutBiases","fully_connected","fully_connected_gpu_bf_io_gemm","1","0","58","dispatch_map_raw1.csv"
"fully_connected_gpu_bf_io_gemm_10554338203459921666_0_0","unique_primitive","2","fully_connected_gpu_bf_io_gemm_10554338203459921666_0_0","fullyconnected:/fc/Gemm/WithoutBiases","fully_connected","fully_connected_gpu_bf_io_gemm","2","0","58","dispatch_map_raw2.csv"
"pooling_gpu_blocked_17718859278101007469_0_0","unique_primitive","1","pooling_gpu_blocked_17718859278101007469_0_0","maxpool:/maxpool/MaxPool","pooling","pooling_gpu_blocked","1","0","3","dispatch_map_raw1.csv"
"pooling_gpu_blocked_17718859278101007469_0_0","unique_primitive","2","pooling_gpu_blocked_17718859278101007469_0_0","maxpool:/maxpool/MaxPool","pooling","pooling_gpu_blocked","2","0","3","dispatch_map_raw2.csv"
"reduce_gpu_b_fs_yx_fsv16_17577769709185652434_0_0","unique_primitive","1","reduce_gpu_b_fs_yx_fsv16_17577769709185652434_0_0","reducemean:/avgpool/GlobalAveragePool","reduce","reduce_gpu_b_fs_yx_fsv16","1","0","56","dispatch_map_raw1.csv"
"reduce_gpu_b_fs_yx_fsv16_17577769709185652434_0_0","unique_primitive","2","reduce_gpu_b_fs_yx_fsv16_17577769709185652434_0_0","reducemean:/avgpool/GlobalAveragePool","reduce","reduce_gpu_b_fs_yx_fsv16","2","0","56","dispatch_map_raw2.csv"
"reorder_data_11475626742907933301_0_0","unique_primitive","1","reorder_data_11475626742907933301_0_0","convert:Convert_886","reorder","reorder_data","1","0","1","dispatch_map_raw1.csv"
"reorder_data_11475626742907933301_0_0","unique_primitive","2","reorder_data_11475626742907933301_0_0","convert:Convert_886","reorder","reorder_data","2","0","1","dispatch_map_raw2.csv"
"reorder_data_14584053691340162655_0_0","unique_primitive","1","reorder_data_14584053691340162655_0_0","convert:fc.weight","reorder","reorder_data","0","0","107","dispatch_map_raw0.csv"
"reorder_data_fast_b1_12550024482704781809_0_0","unique_primitive","1","reorder_data_fast_b1_12550024482704781809_0_0","result:prob/sink_port_0","reorder","reorder_data_fast_b1","1","0","59","dispatch_map_raw1.csv"
"reorder_data_fast_b1_12550024482704781809_0_0","unique_primitive","2","reorder_data_fast_b1_12550024482704781809_0_0","result:prob/sink_port_0","reorder","reorder_data_fast_b1","2","0","59","dispatch_map_raw2.csv"
"reorder_weights_opt_229_weight_0_0","unique_primitive","1","reorder_weights_opt_229_weight_0_0","constant:onnx::Conv_635_weights_reorder_43","reorder","reorder_weights_opt","0","0","60","dispatch_map_raw0.csv"
"reorder_weights_opt_232_weight_0_0","unique_primitive","1","reorder_weights_opt_232_weight_0_0","constant:onnx::Conv_626_weights_reorder_44","reorder","reorder_weights_opt","0","0","63","dispatch_map_raw0.csv"
"reorder_weights_opt_248_weight_0_0","unique_primitive","1","reorder_weights_opt_248_weight_0_0","constant:onnx::Conv_578_weights_reorder_24","reorder","reorder_weights_opt","0","0","79","dispatch_map_raw0.csv"
"reorder_weights_opt_251_weight_0_0","unique_primitive","1","reorder_weights_opt_251_weight_0_0","constant:onnx::Conv_569_weights_reorder_25","reorder","reorder_weights_opt","0","0","82","dispatch_map_raw0.csv"
"reorder_weights_opt_261_weight_0_0","unique_primitive","1","reorder_weights_opt_261_weight_0_0","constant:onnx::Conv_539_weights_reorder_11","reorder","reorder_weights_opt","0","0","92","dispatch_map_raw0.csv"
"reorder_weights_opt_264_weight_0_0","unique_primitive","1","reorder_weights_opt_264_weight_0_0","constant:onnx::Conv_530_weights_reorder_12","reorder","reorder_weights_opt","0","0","95","dispatch_map_raw0.csv"
"reorder_weights_opt_274_weight_0_0","unique_primitive","1","reorder_weights_opt_274_weight_0_0","constant:onnx::Conv_500_weights_reorder_2","reorder","reorder_weights_opt","0","0","105","dispatch_map_raw0.csv"
"reorder_weights_opt_275_weight_0_0","unique_primitive","1","reorder_weights_opt_275_weight_0_0","constant:onnx::Conv_497_weights_reorder_0","reorder","reorder_weights_opt","0","0","106","dispatch_map_raw0.csv"
